lon_dd,lat_dd,station,operation,core,optime,xoptime,type,comments,owner,loc1,kts
-63.6141,44.6811, ,BIO,0,4,0,Transit, ,NA,1,10
-63.611,44.676, ,Transit,0,0,0,Transit, ,NA,1,10
-63.599,44.674, ,Transit,0,0,0,Transit, ,NA,1,10
-63.584,44.663, ,Transit,0,0,0,Transit, ,NA,1,10
-63.5687,44.6545, ,Transit,0,0,0,Transit, ,NA,1,10
-63.5632,44.6397, ,Transit,0,0,0,Transit, ,NA,1,10
-63.5225,44.5717, ,Transit,0,0,0,Transit, ,NA,1,10
-63.45,44.4002,,Transit,0,0,0,Transit, ,NA,1,10
-65.48,43.25,,Transit,0,0,0,Transit, ,NA,1,10
-66.2256,43.3252,,Transit,0,0,0,Transit,,NA,1,10
-66.4003,43.7502,YL_01,Net_CTD,0,1,0,Operations,,NA,1,10
-66.8513,43.6799,YL_02,Net_CTD,0,1,0,Operations,,NA,1,10
-67.3023,43.6096,YL_03,Net_CTD,0,1,0,Operations,,NA,1,10
-67.7534,43.5392,YL_04,Net_CTD,0,1,0,Operations,,NA,1,10
-68.2124,43.4689,YL_05,Net_CTD,0,1,0,Operations,,NA,1,10
-68.6643,43.3986,YL_06,Net_CTD,0,1,0,Operations,,NA,1,10
-69.1064,43.3283,YL_07,Net_CTD,0,1,0,Operations,,NA,1,10
-69.5574,43.2579,YL_08,Net_CTD,0,1,0,Operations,,NA,1,10
-70.0098,43.1863,YL_09,Net_CTD,0,1,0,Operations,,NA,1,10
-70.2724,43.1567,YL_10,Net_CTD,0,1,0,Operations,,NA,1,10
-70.0084,43.0335,PL_01,Net_CTD,0,1,0,Operations,,NA,1,10
-69.5574,42.9547,PL_02,Net_CTD,0,1,0,Operations,,NA,1,10
-69.1064,42.876,PL_03,Net_CTD,0,1,0,Operations,,NA,1,10
-68.6554,42.7893,PL_04,Net_CTD,0,1,0,Operations,,NA,1,10
-68.2044,42.7024,PL_05,Net_CTD,0,1,0,Operations,,NA,1,10
-67.7534,42.6256,PL_06,Net_CTD,0,1,0,Operations,,NA,1,10
-67.3023,42.5526,PL_07,Net_CTD,0,1,0,Operations,,NA,1,10
-66.8513,42.4623,PL_08,Net_CTD,0,1,0,Operations,,NA,1,10
-66.4003,42.3778,PL_09,Net_CTD,0,1,0,Operations,,NA,1,10
-65.35,41.8667,BBL_07,Net_CTD,1,5,0,Operations, ,NA,2,10
-65.51,42,BBL_06,Net_CTD,1,4,0,Operations,,NA,2,10
-65.5,42.1333,BBL_05,Net_CTD,1,2,0,Operations, ,NA,2,10
-65.7433,42.4183,NEC_01,Net_CTD,0,1,0,Operations, ,NA,2,10
-65.8083,42.3367,NEC_02,Net_CTD,0,1,0,Operations, ,NA,2,10
-65.87,42.2717,NEC_04,Net_CTD,0,1,0,Operations, ,NA,2,10
-65.9383,42.2,NEC_06,Net_CTD,0,1,0,Operations, ,NA,2,10
-66.0374,42.1183,NEC_08,Net_CTD,0,1,0,Operations, ,NA,2,10
-66.1417,41.99,NEC_10,Net_CTD,0,1,0,Operations, ,NA,2,10
-66.0833,42.0617,NEC_09,CTD_Nutrients,0,1,0,Operations, ,NA,2,10
-65.9683,42.1633,NEC_07,CTD_Nutrients,0,1,0,Operations, ,NA,2,10
-65.9033,42.2333,NEC_05,CTD_Nutrients,0,1,0,Operations, ,NA,2,10
-65.84,42.3,NEC_03,CTD_Nutrients,0,1,0,Operations, ,NA,2,10
-65.4833,42.45,BBL_04,Net_CTD,1,1,0,Operations,,NA,2,10
-65.4833,42.76,BBL_03,Net_CTD,1,1,0,Operations,,NA,2,10
-65.48,43,BBL_02,Net_CTD,1,1,0,Operations,,NA,2,10
